"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Runs 4 times with different data points automatically.","25","test_validate_post_owners[chromium-2-1]","tests.api","Mon Apr 06 22:25:03 UTC 2026","passed","Mon Apr 06 22:25:03 UTC 2026","","test_datadriven","",""
"","20","test_get_multiple_posts[chromium-3-ea molestias quasi exercitationem repellat qui ipsa sit aut]","tests.api","Mon Apr 06 22:25:04 UTC 2026","passed","Mon Apr 06 22:25:04 UTC 2026","","test_json_api","",""
"Verifies that a user can log in with valid credentials.","430","test_valid_login[chromium]","tests.ui","Mon Apr 06 22:25:01 UTC 2026","passed","Mon Apr 06 22:25:02 UTC 2026","","test_auth","",""
"Verifies that the product list is loaded after login.","280","test_products_page_displays_items[chromium]","tests.ui","Mon Apr 06 22:25:02 UTC 2026","passed","Mon Apr 06 22:25:03 UTC 2026","","test_inventory","",""
"Runs 4 times with different data points automatically.","23","test_validate_post_owners[chromium-21-3]","tests.api","Mon Apr 06 22:25:04 UTC 2026","passed","Mon Apr 06 22:25:04 UTC 2026","","test_datadriven","",""
"Runs 4 times with different data points automatically.","19","test_validate_post_owners[chromium-11-2]","tests.api","Mon Apr 06 22:25:03 UTC 2026","passed","Mon Apr 06 22:25:03 UTC 2026","","test_datadriven","",""
"","23","test_get_multiple_posts[chromium-1-sunt aut facere repellat provident occaecati excepturi optio reprehenderit]","tests.api","Mon Apr 06 22:25:01 UTC 2026","passed","Mon Apr 06 22:25:01 UTC 2026","","test_json_api","",""
"Verifies that an error message appears for wrong credentials.","282","test_invalid_login_error[chromium]","tests.ui","Mon Apr 06 22:25:02 UTC 2026","passed","Mon Apr 06 22:25:02 UTC 2026","","test_auth","",""
"Verifies that clicking 'Add to Cart' updates the header badge.","413","test_add_to_cart_updates_badge[chromium]","tests.ui","Mon Apr 06 22:25:03 UTC 2026","passed","Mon Apr 06 22:25:03 UTC 2026","","test_inventory","",""
"Runs 4 times with different data points automatically.","67","test_validate_post_owners[chromium-1-1]","tests.api","Mon Apr 06 22:25:01 UTC 2026","passed","Mon Apr 06 22:25:01 UTC 2026","","test_datadriven","",""
"","17","test_get_multiple_posts[chromium-2-qui est esse]","tests.api","Mon Apr 06 22:25:03 UTC 2026","passed","Mon Apr 06 22:25:03 UTC 2026","","test_json_api","",""
